,Unit of Measure (Per Pack),Pack Price,Unit Price,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Managed By_Ethiopia Field Office,Managed By_Haiti Field Office,Managed By_PMO - US,Managed By_South Africa Field Office,Fulfill Via_Direct Drop,Fulfill Via_From RDC,Vendor INCO Term_CIF,Vendor INCO Term_CIP,Vendor INCO Term_DAP,Vendor INCO Term_DDP,Vendor INCO Term_DDU,Vendor INCO Term_EXW,Vendor INCO Term_FCA,Vendor INCO Term_N/A - From RDC,Shipment Mode_Air,Shipment Mode_Air Charter,Shipment Mode_Ocean,Shipment Mode_Truck,Product Group_ACT,Product Group_ANTM,Product Group_ARV,Product Group_HRDT,Product Group_MRDT,Sub Classification_ACT,Sub Classification_Adult,Sub Classification_HIV test,Sub Classification_HIV test - Ancillary,Sub Classification_Malaria,Sub Classification_Pediatric,First Line Designation_No,First Line Designation_Yes
67,3.2188758248682006,3.624340932976365,0.4054651081081644,3.5263605246161616,5.19295685089021,1.7715567619105355,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
75,3.2188758248682006,2.995732273553991,-0.2231435513142097,4.605170185988092,7.023081966951813,2.5257286443082556,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
76,3.4011973816621555,3.130263166511597,-0.2744368457017603,2.970414465569701,6.428533290926323,1.2781522025001875,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
77,3.4011973816621555,3.130263166511597,-0.2744368457017603,4.182050142641207,7.201249179992697,1.682688374173693,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
78,5.298317366548036,0.3576744442718159,-4.605170185988091,6.424869023905388,9.962783762993002,0.5187937934151675,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
81,3.2188758248682006,3.624340932976365,0.4054651081081644,3.6888794541139363,6.945291882510863,2.0719132752590443,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
82,3.4011973816621555,3.919991175077323,0.5187937934151675,8.317033476492403,9.141954459109717,8.504958653747895,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
83,4.605170185988092,2.97092715463502,-1.6094379124341003,8.558143177745192,10.142709943702993,1.6770965609079151,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
85,4.0943445622221,2.152924318439639,-1.9661128563728327,8.163086375583216,9.459946675575734,4.611649152085801,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
86,4.0943445622221,0.8754687373538999,-3.2188758248682006,8.163086375583216,9.459946675575734,4.592895155112479,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
87,4.0943445622221,1.9315214116032138,-2.120263536200091,6.828712071641684,8.348994633911982,4.961515075464842,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
88,4.0943445622221,2.152924318439639,-1.9661128563728327,5.351858133476067,6.794026513653794,3.681099266794974,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
90,4.0943445622221,2.330200260027019,-1.7719568419318752,5.4680601411351315,7.567679126100273,3.7421832261362473,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
91,3.4011973816621555,3.1135153092103742,-0.2876820724517809,7.937374696163295,9.441119497953448,5.896549289311694,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
92,3.4011973816621555,3.1642084235258925,-0.23572233352106983,2.3978952727983707,6.137727054086234,2.2278615467981093,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
93,4.0943445622221,2.2512917986064953,-1.8325814637483102,3.7612001156935624,5.560681631015528,0.3987761199573678,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
94,5.298317366548036,2.532902848056256,-2.8134107167600364,3.7612001156935624,5.560681631015528,-0.23572233352106983,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
95,4.0943445622221,2.330200260027019,-1.7719568419318752,2.302585092994046,6.7948329111170205,-0.07257069283483537,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
96,3.4011973816621555,2.75429745226753,-0.6539264674066639,7.132497551660044,9.959194691563825,4.534103737554231,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
97,3.4011973816621555,2.65605490598383,-0.7550225842780328,8.842243300336756,10.49541936443364,4.581799199664851,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
98,5.480638923341991,1.269760544863939,-4.605170185988091,4.634728988229636,7.20990222884444,1.9501867058225735,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
99,5.298317366548036,0.1823215567939546,-4.605170185988091,4.6491870714048655,7.550285252345546,0.8153648132841944,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
100,5.480638923341991,1.7647307968401356,-3.912023005428146,5.339939041238856,7.7217962074678885,3.0252910757955354,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
101,4.0943445622221,1.0367368849500223,-2.995732273553991,6.4337436283388625,8.39644376035625,1.891604804197771,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
102,5.480638923341991,1.7316555451583497,-3.912023005428146,7.91553070097847,9.178982822959192,1.3428648031925547,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
